WindSpeed,Humidity,Pressure,Temperature,UV,RainToday,Humidity_Ke
20,71,1007.7,16.9,0,No,79
4,44,1010.6,17.2,0,No,72
19,38,1007.6,21,2,No,70
11,45,1017.6,18.1,0,No,72
7,82,1010.8,17.8,8,No,82
19,55,1009.2,20.6,0,No,75
20,49,1009.6,18.1,0,No,73
6,48,1013.4,16.3,0,No,73
7,42,1008.9,18.3,0,No,71
15,58,1007,20.1,0,Yes,76
17,48,1011.8,20.4,0,No,73
15,89,1010.5,15.9,8,Yes,84
28,76,994.3,17.4,8,Yes,81
24,65,1001.2,15.8,7,Yes,78
4,57,1009.7,15.9,0,No,75
0,50,1013.4,17.3,0,0,74
11,69,1012.2,17.2,1,No,79
6,80,1005.8,18,1,Yes,82
24,47,1009.4,15.5,2,Yes,73
17,45,1019.2,15.8,0,No,72
9,56,1019.3,19.1,0,No,75
17,38,1013.6,24.5,1,No,70
19,54,1007.8,23.8,0,No,75
6,55,1011,20.9,0,No,75
4,49,1012.9,21.5,0,No,73
9,45,1010.9,23.2,1,No,72
0,41,1006.8,26.6,1,No,71
13,56,1005.2,24.6,0,No,75
19,49,1004.8,21.6,0,No,73
11,78,1005.6,12.5,8,Yes,81
17,48,1006.1,16.9,0,No,73
19,46,1004.5,19.7,0,No,72
19,44,1014.4,14.9,0,No,72
11,43,1018.7,17.1,0,No,72
6,41,1015.1,20.7,0,No,71
6,41,1012.6,22.4,0,No,71
4,33,1010.9,23.1,0,No,69
6,34,1007,25.2,0,No,69
17,43,1011.9,17.9,0,No,72
20,38,1017.8,17.2,0,No,70
15,36,1013.4,20.2,0,No,70
13,52,1009.9,22.8,0,No,74
7,48,1014.1,24.2,0,No,73
7,51,1015.7,24.3,0,No,74
7,40,1011.6,25.6,0,No,71
20,34,1008.4,27.6,0,No,69
20,46,1014.1,18,0,No,72
19,35,1019.7,16,0,No,69
17,34,1019.7,20.9,0,No,69
2,39,1015.8,22,0,No,70
9,36,1010.1,26.8,0,No,70
15,48,1009.6,27.3,0,No,73
26,60,1005.3,26.1,1,No,76
6,43,1007.9,22.8,0,Yes,72
30,41,1005.4,23.3,0,No,71
7,44,1016.5,21.2,0,No,72
7,48,1017.7,23.4,0,No,73
9,48,1017.8,25.8,0,No,73
7,45,1014.9,28.2,0,No,72
6,38,1015.7,29,0,No,70
9,37,1014.6,29.2,0,No,70
4,33,1014.2,29.9,0,No,69
15,27,1012.5,32.4,0,No,67
19,32,1011.7,28.8,0,No,68
13,51,1009.2,27.2,0,No,74
11,53,1008.8,25.5,0,No,74
7,48,1005.9,26.5,0,No,73
6,39,1008,28.7,0,No,70
9,36,1008.2,29.6,0,No,70
9,20,1007,34.5,5,No,65
7,66,1009.3,18.7,8,No,78
20,50,1011.6,17.4,1,No,74
19,45,1012.8,16.7,0,No,72
11,58,1017,17,8,No,76
26,41,1023.3,18,0,Yes,71
7,37,1022.5,18.3,0,No,70
7,50,1016.2,19.2,0,No,74
17,43,1017.7,21.4,0,No,72
7,46,1017.2,18,0,No,72
4,44,1012.4,22.1,0,No,72
4,53,1007.8,21,0,No,74
7,45,1010.1,21.5,0,No,72
2,63,1012.5,19.3,0,No,77
11,49,1015.6,20.9,0,No,73
6,48,1013,20.7,0,No,73
7,54,1014,18.7,7,No,75
0,49,1016.6,15,7,No,73
15,43,1017.8,20.7,0,No,72
0,53,1016.2,20,0,No,74
6,44,1007.5,22.2,0,No,72
